Internal ID,Source,Source Link,Direct DMP Link,Public ID,Name,Date of Creation,Format,Template,Template Source,Language,License,License Link,Parts/Quesions according to template,Completeness (with relation to the template),Declarated access level,notes,Tool,Tool Link,Figures,Tables (beside first page of metadata),Lists
460,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139540,o:1139540,LIQUEFACT Data Management Plan v3,2025-05-31T18:24:43.119Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,"Says H2020, but the parts/questions are not the same.",unknown,unknown,no,yes,yes
471,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139575,o:1139575,SARAFun Draft Data Management Plan,2025-05-31T18:24:57.451Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
504,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139684,o:1139684,CHEOPS Data Management Plan (DMP),2025-05-31T18:25:45.782Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Organized by work packages.,unknown,unknown,no,yes,yes
514,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139704,o:1139704,Open4Citizens Data Management Plan (Midterm),2025-05-31T18:25:54.607Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,100,100,Public,,unknown,unknown,no,yes,yes
538,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139790,o:1139790,VESSEDIA Data Management Plan (DMP),2025-05-31T18:26:29.736Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording). Organized by partners.,unknown,unknown,no,yes,yes
574,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139921,o:1139921,ERSAT GGC Data Management Plan,2025-05-31T18:27:13.071Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
579,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139938,o:1139938,"CIRC4Life ""Data Management Plan - #1""",2025-05-31T18:27:17.057Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,yes,yes
590,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139868,o:1139868,HARVEST Data management Plan - Research data repository,2025-05-31T18:27:00.994Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,50,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,yes,yes,yes
591,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:367863,o:367863,Data Management Plan - Eine Anleitung zur Erstellung von Data Management Plänen. Projekt e-Infrastructures Austria (Deutsch): Eine Anleitung zur dauerhaften Sicherung von digitalen Beständen,2017-03-01T16:33:45.388Z,,,unknown,de,,unknown,,,Public,not in english. ,unknown,unknown,,,
620,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139287,o:1139287,MendTheGap Data management plan – Pilot participation,2025-05-31T18:22:46.861Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording).,unknown,unknown,no,no,no
627,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139351,o:1139351,INTERMODEL EU Data Management plan 1,2025-05-31T18:23:18.246Z,PDF,Horizon 2020,https://ec.europa.eu/research/participants/documents/downloadPublic?documentIds=080166e5d40c6c2c&appId=PPGMS,en,All rights reserved,unknown,80,100,Public,Contains template sections but no questions (or modified wording) and additional sections.,unknown,unknown,no,yes,yes
659,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139709,o:1139709,STARS4ALL Data Management Plan (initial version),2025-05-31T18:25:56.719Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,yes,no,yes
687,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1140048,o:1140048,CityxChange Data Management Plan (Initial version),2025-05-31T18:27:45.288Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
695,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139943,o:1139943,S2S4E Data Management Plan (DMP) presentation,2025-05-31T18:27:18.423Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
720,TU Vienna,https://phaidra.univie.ac.at/detail/o:1140797,https://phaidra.univie.ac.at/detail/o:1139339,o:1139339,ACTRIS PPP ACTRIS PPP data management plan,2025-05-31T18:23:12.358Z,PDF,unknown,unknown,en,All rights reserved,unknown,0,100,Public,,unknown,unknown,no,yes,yes
